"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,-1,-1,222.470399999999,-1,313.70125,-1,430.288181818181,-1,640,-1,767.974999999998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1996,120.221908592994,-1,227.049686527796,284.850633078172,296.205237456556,306.626831477551,778.669093701102,503.019102742066,-1,1065.89362032283,646.148190544448,778.669093701102,-1,800.211159925485,-1,-1,-1,-1,1343.59244288235,1065.89362032283,1163.68355255651,-1,-1,-1,-1
1997,-1,243.89,-1,-1,330.252026029761,-1,-1,444.850835396841,-1,-1,634.627824958895,-1,816.73874928497,-1,-1,1072.52668800824,-1,-1,1325.25392292719,-1,-1,1616.53957858562,-1,-1,-1
1998,138.24,138.24,266.717418748056,398.67467775105,431.904094317139,446.71338779249,461.264274332168,606.120494268313,-1,625.783478110804,-1,625.783478110804,743.440971744336,931.758410012009,812.709400028004,-1,1329.40976903877,-1,812.709400028004,1667.5632421752,-1,-1,-1,-1,-1
1999,243.889999999998,-1,-1,322.917418749184,-1,-1,454.975415038585,-1,-1,-1,623.438394255086,-1,-1,811.121785044026,-1,-1,-1,1075.6409557233,-1,-1,-1,1321.06732063388,-1,-1,1574.64
